possibleOriginalPartnumber;productcode;productname;productprice;addtocartbtn_replacement_text;productdescriptionshort;stockstatus;productweight;category;subCategory;url
HL384-5, HL384-5, HL384-5;HL3845;HL3845;4.720;;HL COLLAR,;21535;0.5;Aircraft Parts;HL COLLAR,, , ;https://shop.boeing.com/aviation-supply/p/HL384-5=M1
HL386-5, HL386-5, HL386-5;HL3865;HL3865;1.450;;HL COLLAR,;0;0.5;Aircraft Parts, Hi-Lok and Collars;HL COLLAR,, , ;https://shop.boeing.com/aviation-supply/p/HL386-5=M1
HL40-10-17, HL40-10-17, HL40-10-17;HL401017;HL401017;39.750;;HL PIN,;0;0.5;Aircraft Parts;HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL40-10-17=M1
HL40-10-20, HL40-10-20, HL40-10-20;HL401020;HL401020;12.340;;HL PIN,;188;0.5;Aircraft Parts;HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL40-10-20=M1
HL40-10-34, HL40-10-34, HL40-10-34;HL401034;HL401034;86.180;;HL PIN,;0;0.5;Aircraft Parts;HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL40-10-34=M1
HL40-4-8, HL40-4-8, HL40-4-8, HL40-4-8, HL40-4-8, HL404-8;HL4048;HL4048;2.400;;HL PIN,;35372;0.5;Aircraft Parts, Misc, Hi-Loks Head Pins;HL PIN,, HI-LOK PIN, , , , HI-LOK PIN;https://shop.boeing.com/aviation-supply/p/HL40-4-8=M1
HL40-8-4, HL40-8-4, HL40-8-4, HL4084;HL4084;HL4084;6.810;;4.1 (L) x 6.05 (W) x 0.45 (H) in;0;0.5;Misc, Aircraft Parts;PIN, HL PIN,, , , PIN;https://shop.boeing.com/aviation-supply/p/HL40-8-4=M1
HL410VBJ6-8, HL410VBJ6-8, HL410VBJ6-8, HL410VBJ6-8, HL410VBJ68;HL410VBJ68;HL410VBJ68;48.530;;3.95 (L) x 6.30 (W) x 0.35 (H) in;3660;0.5;Misc, Aircraft Parts;PIN HI- LOK, HL PIN,, , , PIN HI- LOK;https://shop.boeing.com/aviation-supply/p/HL410VBJ6-8=M1
HL411VAP6-8, HL411VAP6-8, HL411VAP6-8, HL411VAP6-8, HL411VAP68;HL411VAP68;HL411VAP68;11.360;;4.20 (L) x 2.55 (W) x 0.30 (H) in;787;0.5;Misc, Aircraft Parts, HL PIN;PIN, HL PIN,, , HL PIN, PIN;https://shop.boeing.com/aviation-supply/p/HL411VAP6-8=M1
HL41-4-8, HL41-4-8, HL414-8, HL41-4-8, HL41-4-8;HL4148;HL4148;4.350;;4 (L) x 2.5 (W) x 0.45 (H) in;159548;0.5;Misc, Aircraft Parts, Hi-Loks Head Pins;PIN, HL PIN,, , PIN, , ;https://shop.boeing.com/aviation-supply/p/HL41-4-8=M1
HL41-5-7, HL41-5-7, HL41-5-7, HL41-5-7, HL4157, HL41-5-7, HL41-5-7;HL4157;HL4157;2.880;;4 (L) x 5.05 (W) x 0.75 (H) in;862;0.5;Misc, Aircraft Parts, Hardware, Hi-Loks Head Pins;PIN, HL PIN,, , , PIN, , ;https://shop.boeing.com/aviation-supply/p/HL41-5-7=M1
HL40PY8-9, HL40PY8-9;HL40PY89;HL40PY89;4.230;;HL PIN,;0;0.5;Aircraft Parts;HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL40PY8-9=M1
HL40V5-6, HL40V5-6, HL40V5-6;HL40V56;HL40V56;4.980;;HL PIN,;3403;0.5;Aircraft Parts;HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL40V5-6=M1
HL410VF6-2, HL410VF6-2, HL410VF6-2;HL410VF62;HL410VF62;11.490;;HL PIN,;0;0.5;Aircraft Parts;HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL410VF6-2=M1
HL410VF8-4, HL410VF8-4, HL410VF8-4;HL410VF84;HL410VF84;2.900;;HL PIN,;679;0.5;Aircraft Parts;HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL410VF8-4=M1
HL41-12-13, HL41-12-13, HL41-12-13;HL411213;HL411213;10.800;;HL PIN,;0;0.5;Aircraft Parts;HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL41-12-13=M1
HL411VAP6-12, HL411VAP6-12;HL411VAP612;HL411VAP612;4.510;;HL PIN,;0;0.5;Aircraft Parts;HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL411VAP6-12=M1
HL411VAP8-7, HL411VAP8-7, HL411VAP-8-7;HL411VAP87;HL411VAP87;14.300;;HL PIN,;3744;0.5;Aircraft Parts;HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL411VAP8-7=M1
HL411VAZ12-13, HL411VAZ12-13, HL411VAZ12-13;HL411VAZ1213;HL411VAZ1213;448.360;;HL PIN,;101;0.5;Aircraft Parts;HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL411VAZ12-13=M1
HL411VF8-16, HL411VF8-16, HL411VF8-16;HL411VF816;HL411VF816;3.440;;HL PIN,;23;0.5;Aircraft Parts;HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL411VF8-16=M1
HL412VAP10-8, HL412VAP10-8, HL412VAP10-8;HL412VAP108;HL412VAP108;8.200;;HL PIN,;0;0.5;Aircraft Parts;HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL412VAP10-8=M1
HL412VAP8-8, HL412VAP8-8;HL412VAP88;HL412VAP88;18.890;;HL PIN,;0;0.5;Aircraft Parts;HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL412VAP8-8=M1
HL412VBJ10-18, HL412VBJ10-18, HL412VBJ10-18;HL412VBJ1018;HL412VBJ1018;263.390;;HL PIN,;95;0.5;Aircraft Parts;HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL412VBJ10-18=M1
HL412VBJ12-20, HL412VBJ12-20, HL412VBJ12-20;HL412VBJ1220;HL412VBJ1220;239.260;;HL PIN,;36;0.5;Aircraft Parts;HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL412VBJ12-20=M1
HL412VBJ8-10, HL412VBJ8-10, HL412VBJ8-10;HL412VBJ810;HL412VBJ810;229.490;;HL PIN,;31;0.5;Aircraft Parts;HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL412VBJ8-10=M1
HL412VDF8-11, HL412VDF8-11, HL412VDF8-11;HL412VDF811;HL412VDF811;27.730;;HL PIN,;1;0.5;Aircraft Parts;HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL412VDF8-11=M1
HL412VF10-8, HL412VF10-8, HL412VF10-8;HL412VF108;HL412VF108;23.250;;HL PIN,;6;0.5;Aircraft Parts;HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL412VF10-8=M1
HL412VF14-23, HL412VF14-23, HL412VF14-23;HL412VF1423;HL412VF1423;296.330;;HL PIN,;0;0.5;Aircraft Parts;HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL412VF14-23=M1
HL412VF16-23, HL412VF16-23, HL412VF16-23;HL412VF1623;HL412VF1623;145.550;;HL PIN,;19;0.5;Aircraft Parts;HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL412VF16-23=M1
HL412VF8-17, HL412VF8-17, HL412VF8-17;HL412VF817;HL412VF817;2.350;;HL PIN,;642;0.5;Aircraft Parts;HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL412VF8-17=M1
HL412VF8-5, HL412VF8-5, HL412VF8-5;HL412VF85;HL412VF85;11.860;;HL PIN,;70;0.5;Aircraft Parts;HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL412VF8-5=M1
HL413V8-31, HL413V8-31;HL413V831;HL413V831;1.550;;HL PIN,;0;0.5;Aircraft Parts;HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL413V8-31=M1
HL413VAP10-16, HL413VAP10-16, HL413VAP10-16;HL413VAP1016;HL413VAP1016;31.240;;HL PIN,;0;0.5;Aircraft Parts;HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL413VAP10-16=M1
HL413VAP8-28, HL413VAP8-28, HL413VAP8-28;HL413VAP828;HL413VAP828;2.090;;HL PIN,;0;0.5;Aircraft Parts;HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL413VAP8-28=M1
HL413VAP8-5, HL413VAP8-5, HL413VAP8-5;HL413VAP85;HL413VAP85;7.790;;HL PIN,;0;0.5;Aircraft Parts;HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL413VAP8-5=M1
HL413VAZ8-13, HL413VAZ8-13, HL413VAZ8-13;HL413VAZ813;HL413VAZ813;10.990;;HL PIN,;660;0.5;Aircraft Parts;HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL413VAZ8-13=M1
HL413VAZ8-27, HL413VAZ8-27, HL413VAZ8-27;HL413VAZ827;HL413VAZ827;478.610;;HL PIN,;0;0.5;Aircraft Parts;HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL413VAZ8-27=M1
HL413VAZ8-7, HL413VAZ8-7, HL413VAZ8-7;HL413VAZ87;HL413VAZ87;47.380;;HL PIN,;470;0.5;Aircraft Parts;HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL413VAZ8-7=M1
HL413VBJ6-9, HL413VBJ6-9, HL413VBJ6-9;HL413VBJ69;HL413VBJ69;52.660;;HL PIN,;0;0.5;Aircraft Parts;HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL413VBJ6-9=M1
HL413VF6-10, HL413VF6-10, HL413VF6-10;HL413VF610;HL413VF610;27.990;;HL PIN,;828;0.5;Aircraft Parts;HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL413VF6-10=M1
HL413VF6-11, HL413VF6-11, HL413VF6-11;HL413VF611;HL413VF611;10.080;;HL PIN,;0;0.5;Aircraft Parts;HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL413VF6-11=M1
HL413VF6-16, HL413VF6-16, HL413VF6-16;HL413VF616;HL413VF616;5.090;;HL PIN,;0;0.5;Aircraft Parts, HL PIN;HL PIN,, , HL PIN;https://shop.boeing.com/aviation-supply/p/HL413VF6-16=M1
HL413VF8-11, HL413VF8-11, HL413VF8-11;HL413VF811;HL413VF811;32.360;;HL PIN,;2112;0.5;Aircraft Parts;HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL413VF8-11=M1
HL413VF8-3, HL413VF8-3, HL413VF8-3;HL413VF83;HL413VF83;6.690;;HL PIN,;2046;0.5;Aircraft Parts;HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL413VF8-3=M1
HL413VF8-5, HL413VF8-5, HL413VF8-5;HL413VF85;HL413VF85;2.050;;HL PIN,;22;0.5;Aircraft Parts;HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL413VF8-5=M1
HL413VF8-7, HL413VF8-7, HL413VF8-7;HL413VF87;HL413VF87;2.980;;HL PIN,;174;0.5;Aircraft Parts;HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL413VF8-7=M1
HL41-5-18, HL41-5-18, HL41-5-18;HL41518;HL41518;8.160;;HL PIN,;544;0.5;Aircraft Parts;HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL41-5-18=M1
HL416-6-10, HL416-6-10;HL416610;HL416610;4.600;;HL PIN,;0;0.5;Aircraft Parts;HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL416-6-10=M1
HL41-8-11, HL41-8-11, HL41-8-11, HL41-8-11;HL41811;HL41811;13.990;;HL PIN,;1;0.5;Aircraft Parts, Misc;, HI- LOK PIN, HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL41-8-11=M1
HL41DU6-25, HL41DU6-25, HL41DU6-25;HL41DU625;HL41DU625;26.490;;HL PIN,;93;0.5;Aircraft Parts;, HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL41DU6-25=M1
HL41DU8-25, HL41DU8-25, HL41DU8-25;HL41DU825;HL41DU825;9.330;;HL PIN,;450;0.5;Aircraft Parts;, HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL41DU8-25=M1
HL41TF4-4, HL41TF4-4, HL41TF4-4;HL41TF44;HL41TF44;3.830;;HL PIN,;9935;0.5;Aircraft Parts, PIN,100 SHEAR HD,HIKOTE2 A286;, HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL41TF4-4=M1
HL420-6-8, HL420-6-8, HL420-6-8;HL42068;HL42068;13.330;;HL PIN,;12;0.5;Aircraft Parts;, HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL420-6-8=M1
HL428-8-4-12, HL428-8-4-12;HL4288412;HL4288412;6.450;;HL PIN,;0;0.5;Aircraft Parts;, HL PIN,;https://shop.boeing.com/aviation-supply/p/HL428-8-4-12=M1
HL440UC12-17, HL440UC12-17, HL440UC12-17;HL440UC1217;HL440UC1217;11.810;;HL PIN,;3689;0.5;Aircraft Parts;, HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL440UC12-17=M1
HL440UC6-10, HL440UC6-10, HL440UC6-10;HL440UC610;HL440UC610;3.340;;HL PIN,;0;0.5;Aircraft Parts, PIN,PROT SHR HD,CAD/CT/GRN A2;, HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL440UC6-10=M1
HL440UC6-3, HL440UC6-3, HL440UC6-3;HL440UC63;HL440UC63;2.980;;HL PIN,;12969;0.5;Aircraft Parts;, HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL440UC6-3=M1
HL440UC6-6, HL440UC6-6, HL440UC6-6;HL440UC66;HL440UC66;5.040;;HL PIN,;14024;0.5;Aircraft Parts;, HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL440UC6-6=M1
HL440UC6-7, HL440UC6-7, HL440UC6-7;HL440UC67;HL440UC67;7.960;;HL PIN,;1676;0.5;Aircraft Parts;, HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL440UC6-7=M1
HL440UC8-28, HL440UC8-28, HL440UC8-28;HL440UC828;HL440UC828;11.790;;HL PIN,;0;0.5;Aircraft Parts;, HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL440UC8-28=M1
HL441AZ6-5, HL441AZ6-5;HL441AZ65;HL441AZ65;4.360;;HL PIN,;0;0.5;Aircraft Parts;, HL PIN,;https://shop.boeing.com/aviation-supply/p/HL441AZ6-5=M1
HL441AZ8-3, HL441AZ8-3, HL441AZ8-3;HL441AZ83;HL441AZ83;21.180;;PIN,;630;0.5;Aircraft Parts;, PIN,, ;https://shop.boeing.com/aviation-supply/p/HL441AZ8-3=M1
HL48-10-12, HL48-10-12;HL481012;HL481012;12.090;;HL PIN,;0;0.5;Aircraft Parts;, HL PIN,;https://shop.boeing.com/aviation-supply/p/HL48-10-12=M1
HL48-5-21, HL48-5-21, HL48-5-21;HL48521;HL48521;7.720;;HL PIN,;3834;0.5;Aircraft Parts;, HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL48-5-21=M1
HL48-8-6, HL48-8-6, HL48-8-6;HL4886;HL4886;10.350;;HL PIN,;0;0.5;Aircraft Parts, Hi-Lok and Collars;, HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL48-8-6=M1
HL51-10-12, HL51-10-12;HL511012;HL511012;1.790;;HL PIN,;0;0.5;Aircraft Parts;, HL PIN,;https://shop.boeing.com/aviation-supply/p/HL51-10-12=M1
HL512PN6-2, HL512PN6-2;HL512PN62;HL512PN62;0.938;;HL PIN,;0;0.5;Aircraft Parts;, HL PIN,;https://shop.boeing.com/aviation-supply/p/HL512PN6-2=M1
HL523AZ6-4, HL523AZ6-4, HL523AZ6-4, HL523AZ6-4;HL523AZ64;HL523AZ64;4.270;;HL PIN,;34982;0.5;Aircraft Parts, Hardware, HL PIN;, HL PIN,, , HL PIN;https://shop.boeing.com/aviation-supply/p/HL523AZ6-4=M1
HL523AZ8-12, HL523AZ8-12, HL523AZ8-12, HL523AZ8-12;HL523AZ812;HL523AZ812;3.540;;HL PIN,;4010;0.5;Aircraft Parts, PIN,100 CSK,HK1/CETYL/BLACK TI;, HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL523AZ8-12=M1
HL525-6-3, HL525-6-3, HL525-6-3, HL525-6-3;HL52563;HL52563;0.950;;HL PIN,;94;0.5;Aircraft Parts, Misc;, HI- LOK, HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL525-6-3=M1
HL525-6-6, HL525-6-6, HL525-6-6;HL52566;HL52566;0.675;;HL PIN,;4078;0.5;Aircraft Parts;, HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL525-6-6=M1
HL525-8-7, HL525-8-7, HL525-8-7;HL52587;HL52587;1.550;;HL PIN,;4961;0.5;Aircraft Parts;, HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL525-8-7=M1
HL52-6-10, HL52-6-10, HL52-6-10;HL52610;HL52610;34.500;;HL PIN,;0;0.5;Aircraft Parts;, HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL52-6-10=M1
HL537AZ6-4, HL537AZ6-4, HL537AZ6-4, HL537AZ6-4;HL537AZ64;HL537AZ64;3.290;;HL PIN,;5618;0.5;Aircraft Parts, PIN,100CSK,1STOS,HK1/CT/BLK TI;, HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL537AZ6-4=M1
HL54-5-3, HL54-5-3, HL54-5-3;HL5453;HL5453;78.360;;HL PIN,;876;0.5;Aircraft Parts;, HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL54-5-3=M1
HL54-8-12, HL54-8-12, HL54-8-12, HL54-8-12;HL54812;HL54812;14.710;;HL PIN,;315;0.5;Aircraft Parts, PIN,PROT HEAD,CADMIUM/CETYL ST;, HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL54-8-12=M1
HL560AP6-3-5, HL560AP6-3-5, HL560AP6-3-5;HL560AP635;HL560AP635;2.240;;HL PIN,;168;0.5;Aircraft Parts;, HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL560AP6-3-5=M1
HL56PB6-10, HL56PB6-10, HL56PB6-10;HL56PB610;HL56PB610;9.440;;HL PIN,;3306;0.5;Aircraft Parts;, HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL56PB6-10=M1
HL56PB6-2, HL56PB6-2, HL56PB6-2;HL56PB62;HL56PB62;2.080;;HL PIN,;10159;0.5;Aircraft Parts;, HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL56PB6-2=M1
HL56PB8-10, HL56PB8-10, HL56PB8-10;HL56PB810;HL56PB810;20.190;;HL PIN,;338;0.5;Aircraft Parts;, HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL56PB8-10=M1
HL56PB8-3, HL56PB8-3;HL56PB83;HL56PB83;4.300;;HL PIN,;0;0.5;Aircraft Parts;, HL PIN,;https://shop.boeing.com/aviation-supply/p/HL56PB8-3=M1
HL56PB8-4, HL56PB8-4, HL56PB8-4;HL56PB84;HL56PB84;2.310;;HL PIN,;2491;0.5;Aircraft Parts;, HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL56PB8-4=M1
HL57PB6-2, HL57PB6-2, HL57PB6-2;HL57PB62;HL57PB62;0.713;;HL PIN,;0;0.5;Aircraft Parts;, HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL57PB6-2=M1
HL57PB6-3, HL57PB6-3, HL57PB6-3, HL57PB6-3;HL57PB63;HL57PB63;1.500;;HL PIN,;4972;0.5;Aircraft Parts, PIN,100 SHR HD,1STOS,CAD/CT ST;, HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL57PB6-3=M1
HL57PB6-4, HL57PB6-4, HL57PB6-4;HL57PB64;HL57PB64;7.340;;HL PIN,;5521;0.5;Aircraft Parts;, HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL57PB6-4=M1
HL57PB8-11, HL57PB8-11, HL57PB8-11;HL57PB811;HL57PB811;5.590;;HL PIN,;0;0.5;Aircraft Parts, PIN,100 SHR HD,1STOS,CAD/CT ST;, HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL57PB8-11=M1
HL582-6MCA, HL582-6MCA;HL5826MCA;HL5826MCA;0.838;;HL COLLAR,;0;0.5;Aircraft Parts;, HL COLLAR,;https://shop.boeing.com/aviation-supply/p/HL582-6MCA=M1
HL582-8MCA, HL582-8MCA, HL582-8MCA;HL5828MCA;HL5828MCA;1.980;;HL COLLAR,;7990;0.5;Aircraft Parts;, HL COLLAR,, ;https://shop.boeing.com/aviation-supply/p/HL582-8MCA=M1
HL58-8-10, HL58-8-10, HL58-8-10;HL58810;HL58810;10.450;;HL PIN,;490;0.5;Aircraft Parts;, HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL58-8-10=M1
HL601-5-7, HL601-5-7, HL601-5-7;HL60157;HL60157;5.790;;HL PIN,;4850;0.5;Aircraft Parts;, HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL601-5-7=M1
HL611-5-3, HL611-5-3, HL611-5-3, HL611-5-3;HL61153;HL61153;2.710;;HL PIN,;11858;0.5;Aircraft Parts, PIN,100 SHEAR HEAD,CETYL TITAN;, HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL611-5-3=M1
HL62PB10-17, HL62PB10-17, HL62PB10-17, HL62PB10-17;HL62PB1017;HL62PB1017;5.390;;HL PIN,;4657;0.5;Aircraft Parts, PIN,PROT HD,1STOS,CAD/CETYL ST;, HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL62PB10-17=M1
HL62PB10-8, HL62PB10-8, HL62PB10-8, HL62PB10-8;HL62PB108;HL62PB108;5.300;;HL PIN,;2423;0.5;Aircraft Parts, Hi-Loks Head Pins;, HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL62PB10-8=M1
HL62PB10-9, HL62PB10-9, HL62PB10-9, HL62PB10-9, HL62PB10-9;HL62PB109;HL62PB109;8.460;;HL PIN,;8243;0.5;Aircraft Parts, Hi-Lok and Collars, PIN,PROT HD,1STOS,CAD/CETYL ST;, HL PIN,, , , ;https://shop.boeing.com/aviation-supply/p/HL62PB10-9=M1
HL62PB8-10, HL62PB8-10, HL62PB8-10, HL62PB8-10, HL62PB810, HL62PB8-10;HL62PB810;HL62PB810;3.490;;HL PIN,;2598;0.5;Aircraft Parts, Hi-Loks Head Pins, Hardware, Misc;, HL PIN,, , , FASTENER, ;https://shop.boeing.com/aviation-supply/p/HL62PB8-10=M1
HL63PB12-9, HL63PB12-9;HL63PB129;HL63PB129;19.690;;HL PIN,;0;0.5;Aircraft Parts;, HL PIN,;https://shop.boeing.com/aviation-supply/p/HL63PB12-9=M1
HL63PB6-13, HL63PB6-13, HL63PB6-13, HL63PB6-13, HL63PB6-13, HL63PB613, HL63PB6-13;HL63PB613;HL63PB613;1.700;;HL PIN,;9693;0.5;Aircraft Parts, Misc, Hi-Loks Head Pins, Hardware, PIN,100 SHR,1STOS,CAD/CETYL,ST;, HI-LOK PIN, HL PIN,, , PIN HI LOK, , HI-LOK PIN, ;https://shop.boeing.com/aviation-supply/p/HL63PB6-13=M1
HL63PB8-24, HL63PB8-24, HL63PB8-24;HL63PB824;HL63PB824;72.000;;HL PIN,;17;0.5;Aircraft Parts;, HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL63PB8-24=M1
HL63PB8-30, HL63PB8-30, HL63PB8-30;HL63PB830;HL63PB830;48.240;;HL PIN,;0;0.5;Aircraft Parts;, HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL63PB8-30=M1
HL64PB10-8, HL64PB-10-8, HL64PB10-8, HL64PB10-8, HL64PB10-8;HL64PB108;HL64PB108;14.330;;HL PIN,;0;0.5;Aircraft Parts, Misc, Hi-Loks Head Pins;, HI- LOK PIN, HL PIN,, , HI- LOK PIN 100 DEGREE FLUSH;https://shop.boeing.com/aviation-supply/p/HL64PB10-8=M1
HL64PB8-11, HL64PB8-11, HL64PB8-11, HL64PB8-11;HL64PB811;HL64PB811;10.710;;HL PIN,;17957;0.5;Aircraft Parts, Hi-Loks Head Pins;, HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL64PB8-11=M1
HL65PB10-11, HL65PB10-11, HL65PB10-11;HL65PB1011;HL65PB1011;5.940;;HL PIN,;437;0.5;Aircraft Parts;, HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL65PB10-11=M1
HL65PB10-7, HL65PB-10-7, HL65PB10-7, HL65PB10-7, HL65PB10-7;HL65PB107;HL65PB107;2.310;;HL PIN,;9;0.5;Aircraft Parts, Misc;, HI- LOK PIN, 100 DEGREE FLUSH, HL PIN,, HI- LOK PIN 100 DEGREE FLUSH, ;https://shop.boeing.com/aviation-supply/p/HL65PB10-7=M1
HL65PB12-20, HL65PB12-20, HL65PB12-20;HL65PB1220;HL65PB1220;7.200;;HL PIN,;3593;0.5;Aircraft Parts;, HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL65PB12-20=M1
HL65PB12-7, HL65PB-12-7, HL65PB12-7;HL65PB127;HL65PB127;4.160;;HL PIN,;0;0.5;Aircraft Parts, Misc;, HI-LOK PIN, 100 DEGREE FLUSH T, HL PIN,;https://shop.boeing.com/aviation-supply/p/HL65PB12-7=M1
HL65PB8-10, HL65PB-8-10, HL65PB8-10, HL65PB8-10, HL65PB810, HL65PB8-10;HL65PB810;HL65PB810;2.740;;HL PIN,;314;0.5;Aircraft Parts, Misc, Hi-Loks Head Pins;, HI-LOK PIN, 100 DEG. FLUSH TEN, HL PIN,, , PIN, ;https://shop.boeing.com/aviation-supply/p/HL65PB8-10=M1
HL65PB8-17, HL65PB8-17;HL65PB817;HL65PB817;3.390;;HL PIN,;0;0.5;Aircraft Parts;, HL PIN,;https://shop.boeing.com/aviation-supply/p/HL65PB8-17=M1
HL730AP14-15, HL730AP14-15, HL730AP14-15;HL730AP1415;HL730AP1415;19.080;;PIN,;651;0.5;Aircraft Parts;, PIN,, ;https://shop.boeing.com/aviation-supply/p/HL730AP14-15=M1
HL730PB8-23, HL730PB8-23, HL730PB8-23;HL730PB823;HL730PB823;38.460;;HI-LOK PIN THREADED,;270;0.5;Aircraft Parts;, HI-LOK PIN THREADED,, ;https://shop.boeing.com/aviation-supply/p/HL730PB8-23=M1
HL730PB8-4, HL730PB8-4, HL730PB8-4;HL730PB84;HL730PB84;42.440;;PIN,;0;0.5;Aircraft Parts;, PIN,, ;https://shop.boeing.com/aviation-supply/p/HL730PB8-4=M1
HL834AP10-9-6, HL834AP10-9-6, HL834AP10-9-6, HL834AP10-9-6;HL834AP1096;HL834AP1096;2.180;;HL PIN,;0;0.5;Aircraft Parts, STUD PIN,PROT HD,HK1/CETYL TI;, HL PIN,, , ;https://shop.boeing.com/aviation-supply/p/HL834AP10-9-6=M1
HL851-6-6, HL851-6-6, HL851-6-6;HL85166;HL85166;269.730;;PIN,;5;0.5;Aircraft Parts;, PIN,, ;https://shop.boeing.com/aviation-supply/p/HL851-6-6=M1
HL855VF6-6, HL855VF6-6;HL855VF66;HL855VF66;16.960;;HL PIN,;0;0.5;Aircraft Parts;, HL PIN,;https://shop.boeing.com/aviation-supply/p/HL855VF6-6=M1
HL855VF8-9, HL855VF8-9, HL855VF8-9;HL855VF89;HL855VF89;56.560;;HL PIN,;1;0.5;Aircraft Parts;, HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL855VF8-9=M1
HL856BJ6-11, HL856BJ6-11, HL856BJ6-11;HL856BJ611;HL856BJ611;53.440;;HL PIN,;611;0.5;Aircraft Parts;, HL PIN,, ;https://shop.boeing.com/aviation-supply/p/HL856BJ6-11=M1
